"country","biofuel_electricity","hydro_electricity","nuclear_electricity","solar_electricity","wind_electricity","other_renewable_electricity","coal_electricity","gas_electricity","oil_electricity","total_electricity","population"
"North America",0,22841.131,29188.887,493.689,2573.566,2865.644,66946.387,32244.083,5665.819,162819.206,161880299
"North Korea",0,247.033,0,0.092,0.003,0,129.161,0,0,376.289,13603442.8833333
"North Macedonia",0,35.621,0,0.144,0.61,0.217,0,0,0,36.592,2043066.66666667
"Northern Mariana Islands",0,0,0,0,0,0,0,0,0,0,46378.3783783784
"Norway",8.964,4380.546,0,0.208,38.548,11.699,0,39.382,0.085,4479.432,3544553.47933884
"Oman",0,0,0,0.022,0,0,0,402.436,0,402.458,1197133.08333333
"OPEC",0,0,0,0,0,0,0,0,0,0,0
"Other Asia & Pacific",0,1108.34,0,2.796,2.423,1.673,2191.186,3592.817,2020.981,8920.216,0
"Other Caribbean",0,65.735,0,4.746,11.257,40.009,0,0,0,121.747,0
"Other CIS",0,1040.731,73.918,0.078,0.102,0.109,180.705,3684.662,560.633,5540.938,0
"Other Middle East",0,116.839,0,8.516,2.507,0.127,870.002,3217.145,3154.591,7369.727,0
"Other Northern Africa",0,2.433,0,0.644,4.059,0,0,0,0,7.136,0
"Other South America",0,1904.1,0,2.308,19.881,28.413,0,0,0,1954.702,0
"Other Southern Africa",0,60.824,0,0.684,0,5.004,0,0,0,66.512,0
"Pakistan",36.616,916.979,92.746,5.682,15.491,36.616,95.736,395.105,832.45,2427.421,69898690.3801653
"Palestine",0.001,0,0,0,0,0.001,0,0,7.197,7.199,3897043.47826087
"Panama",0.62,93.955,0,0.772,2.921,0.62,11.704,15.606,25.592,151.79,3038250
"Papua New Guinea",0.454,17.995,0,0.007,0,3.154,0,15.661,30.434,67.705,5916975
"Paraguay",3.575,1084.281,0,0,0,3.575,0,0,0.094,1091.525,5190400
"Peru",10.723,632.046,0,3.518,7.976,12.791,9.133,270.96,0,947.147,13540159.4793388
"Philippines",4.373,269.911,0,6.299,6.714,318.986,529.612,280.142,190.34,1606.377,37781198.9917355
"Poland",104.605,72.222,0,3.459,108.358,106.903,4825.663,131.965,118.55,5471.725,31149647.4876033
"Portugal",50.778,371.693,0,8.593,152.176,66.994,256.401,258.154,91.168,1255.957,8312216.69421488
"Puerto Rico",0.043,2.221,0,3.466,3.464,0.043,0,0,417.967,427.204,3441725
"Qatar",1.035,0,0,0.052,0,1.035,0,513.548,0,515.67,384964.233333333
"Reunion",5.181,10.665,0,2.165,0.221,5.181,0,0,35.623,59.036,716175
"Romania",4.464,554.875,212.738,13.036,56.186,4.49,415.958,197.793,33.081,1492.621,17607302.6280992
"Russia",56.197,6118.38,5068.573,4.897,2.504,65.126,5665.004,15801.873,1812.752,34595.306,112249724.561983
"Rwanda",0.031,3.09,0,0.319,0,0.031,0,0.541,2.586,6.598,8208650
"Saint Helena",0,0,0,0,0,0,0,0,0.15,0.15,6075
"Saint Kitts and Nevis",0,0,0,0,0.075,0,0,0,3.203,3.278,45250
