"country","continent","avg_population","avg_electricity","gdp"
"Central African Republic","Africa",3455351.35135135,0.0682972972972973,3458992543.13514
"Lithuania","Europe",3415810.81081081,10.009027027027,46424561497.9459
"Singapore","Asia",3367115.38461538,13.4386730769231,111463441348.923
"Ireland","Europe",3306780.81443299,4.85670103092783,62293649054.3505
"Uruguay","Americas",3220324.32432432,4.79710810810811,38440921420.1081
"Armenia","Asia",3038320,4.21572,16455840911.36
"Panama","Americas",2945945.94594595,3.20437837837838,31709125687.3514
"Liberia","Africa",2826432.43243243,0.11327027027027,1922824556.97297
"Mauritania","Africa",2626135.13513514,0.300081081081081,5836266551.35135
"Jamaica","Americas",2583027.02702703,2.39475675675676,14497406823.7838
"Albania","Europe",2432598.56338028,1.21652112676056,11537712591.3239
"Latvia","Europe",2357343.75,4.36809375,31953199552
"Congo","Africa",2256074.62686567,0.247253731343284,6549915605.01493
"Kuwait","Asia",2090930.23255814,19.0031162790698,124192587156.837
"North Macedonia","Europe",2038666.66666667,1.1847037037037,18658507776
"Slovenia","Europe",2014444.44444444,12.759962962963,45221013807.4074
"Namibia","Africa",1889148.14814815,0.947740740740741,13505522119.1111
"Lesotho","Africa",1840081.08108108,0.217324324324324,3654222602.37838
"Mongolia","Asia",1811447.76119403,0.989283582089552,6945948262.68657
"Oman","Asia",1597716.41791045,4.41994029850746,35375571900.1791
"Estonia","Europe",1414968.75,5.9320625,20356094528
"Gambia","Africa",1289405.40540541,0.0975675675675676,2475700677.18919
"Guinea-Bissau","Africa",1197081.08108108,0.0137837837837838,1601153753.94595
"Trinidad and Tobago","Americas",1175346.15384615,2.41978846153846,18257977718.1538
"Mauritius","Africa",1141513.51351351,1.29835135135135,15045242852.3243
"Botswana","Africa",1118701.49253731,0.251567164179104,8621738880
"Gabon","Africa",926686.567164179,0.442761194029851,9597997012.0597
"Cyprus","Asia",830288.461538462,1.47238461538462,14589820401.2308
"Qatar","Asia",821186.046511628,8.83832558139535,80161629279.2558
"Eswatini","Africa",681313.432835821,0,4106371997.61194
"Djibouti","Africa",667405.405405405,0.114297297297297,1689013884.54054
"Bahrain","Asia",651191.489361702,7.3241914893617,18647977836.9362
"Equatorial Guinea","Africa",628054.054054054,0.288864864864865,11062162162.1622
"Montenegro","Europe",620529.411764706,1.90852941176471,8635170364.23529
"Comoros","Africa",526081.081081081,0.0202972972972973,911806133.621622
"Luxembourg","Europe",410250,0.835538461538462,17272934459.0769
"Cape Verde","Africa",406837.837837838,0,1633823082.37838
"Malta","Europe",384324.324324324,0.943945945945946,7026311257.94595
"Barbados","Americas",269243.243243243,0.433945945945946,4052375731.89189
"Iceland","Europe",258730.769230769,5.78176923076923,7903050574.76923
"Saint Lucia","Americas",151324.324324324,0.148864864864865,1025697181.40541
"Sao Tome and Principe","Africa",142243.243243243,0.0225405405405405,333092730.378378
"Seychelles","Africa",80243.2432432432,0.13327027027027,1302153219.45946
"Dominica","Americas",71378.3783783784,0.0400540540540541,551626918.054054
